new_method_p_layer_circuit,old_gray_trotter_method
140.65135182915427,144.90076581372801
139.74948515663164,144.74925706729164
138.9823706156665,144.53211926560968
138.68175380108465,144.50577312387023
138.43383563564507,144.36315231422253
138.12852844819784,144.31292380168
137.93094566681427,143.94866282394364
137.6708571786871,143.95201640570218
137.49550411174158,143.64918296827747
137.314888200682,143.5305123621373
137.08965974100494,143.5456842953055
136.91388553487278,143.39356048163955
136.76853231989193,143.17742063978037
136.5208376195879,143.05805332940136
136.40468013305727,143.03095566525354
136.3136076037069,142.98783435532252
136.17019633773742,142.9299175254669
136.1834715633235,142.796183055859
135.99705513332043,142.74682568517628
135.89850544124536,142.5899057387359
135.59289748108998,142.59890479616288
135.56916892604812,142.4994785571527
135.4570735667374,142.45729201273647
135.36235550942175,142.46822277037077
135.21228540863632,142.2984359370026
134.9600232432878,142.32801892822357
134.77890183759777,142.16520079954734
134.62523275865178,142.08030497727742
134.5590544769561,141.98450526836262
134.47399798786645,141.88142600433852
134.236024793715,141.86297858949945
134.06487535527847,141.8396811953222
133.82335590311536,141.7176521312655
133.545796553592,141.65027378152857
133.3057560951656,141.60743341000142
133.06418596149803,141.5200940105901
132.9204441208705,141.5092284221314
132.55586813593416,141.44114592947054
132.53447299433702,141.40786914012182
132.32235601101345,141.33795843475676
132.12456973142346,141.2715232251895
131.9644737394218,141.17904913176517
131.82721602401654,141.02253636539663
131.56933340796684,140.867668659064
131.34845476861298,140.81728182099783
131.2325057822279,140.67921467993065
130.92139635707733,140.53381538183507
130.6699400207806,140.43702359377437
130.46596839380067,140.2472110801691
130.28696067855134,140.12650571824452
130.0307514146817,140.04117512721274
129.82204181778837,139.86698560672187
129.58180684054233,139.76932983788492
129.46608126485376,139.68794007862624
129.28959574166393,139.39823429039234
129.13087215319777,139.44270483264862
129.02094283931538,139.19094917491373
128.74257048496926,138.92933575835434
128.4132904052261,138.73509326732523
128.15547778736988,138.64955808758904
128.06389758713686,138.49116250565763
127.74761894008041,138.25826223340974
127.46110202484547,138.05174330326878
127.43915485552643,138.00658212544707
127.25506359250484,137.90847107424537
127.14172922828767,137.708195495867
126.88335805577542,137.54524045874956
126.64875551135883,137.32276488196914
126.46545153183551,137.0249690531575
126.37726979198614,136.9325668977165
126.06293449633927,136.89998380822277
125.93347745057432,136.78155939545923
125.74668093136522,136.66263756235332
125.64733526884437,136.5024890769893
125.38527937011122,136.35041409067222
125.00038006201655,136.29236796476513
124.56845501885739,136.16915000182536
