opt_sol,opt_cost,adj_matrix,max_cost,size,avg_cost_new_method_p_layer_circuit_384,avg_gap_new_method_p_layer_circuit_384,avg_opt_reached_new_method_p_layer_circuit_384,avg_proba_new_method_p_layer_circuit_384,avg_cost_new_method_censored_circuit_384,avg_gap_new_method_censored_circuit_384,avg_opt_reached_new_method_censored_circuit_384,avg_proba_new_method_censored_circuit_384,avg_cost_old_gray_trotter_method,avg_gap_old_gray_trotter_method,avg_opt_reached_old_gray_trotter_method,avg_proba_old_gray_trotter_method
"[0, 1, 2, 5, 7, 6, 3, 4]",152,"[[0, 33, 40, 47, 36, 51, 62, 59], [33, 0, 15, 42, 34, 23, 46, 39], [40, 15, 0, 29, 25, 11, 31, 24], [47, 42, 29, 0, 11, 34, 18, 23], [36, 34, 25, 11, 0, 33, 28, 29], [51, 23, 11, 34, 33, 0, 28, 19], [62, 46, 31, 18, 28, 28, 0, 9], [59, 39, 24, 23, 29, 19, 9, 0]]",558,8,229.0,50.65789473684211,0.0,1.5,267.0,75.65789473684211,0.0,43.8,192.0,26.315789473684205,0.0,51.2
"[0, 3, 6, 5, 7, 1, 2, 4]",95,"[[0, 19, 26, 12, 13, 19, 14, 12], [19, 0, 8, 31, 13, 14, 19, 7], [26, 8, 0, 39, 18, 21, 28, 15], [12, 31, 39, 0, 25, 26, 18, 23], [13, 13, 18, 25, 0, 23, 23, 11], [19, 14, 21, 26, 23, 0, 8, 11], [14, 19, 28, 18, 23, 8, 0, 14], [12, 7, 15, 23, 11, 11, 14, 0]]",351,8,106.0,11.57894736842104,0.0,4.8,135.0,42.10526315789474,0.0,18.3,127.0,33.68421052631578,0.0,31.900000000000002
"[0, 2, 3, 5, 4, 1, 6, 7]",140,"[[0, 44, 3, 34, 33, 30, 29, 28], [44, 0, 44, 32, 11, 14, 21, 41], [3, 44, 0, 32, 33, 30, 31, 31], [34, 32, 32, 0, 24, 23, 37, 51], [33, 11, 33, 24, 0, 3, 16, 34], [30, 14, 30, 23, 3, 0, 15, 32], [29, 21, 31, 37, 16, 15, 0, 19], [28, 41, 31, 51, 34, 32, 19, 0]]",459,8,143.0,2.142857142857139,0.0,3.5999999999999996,174.0,24.285714285714292,0.0,7.9,206.0,47.14285714285717,0.0,8.4
"[0, 1, 6, 2, 5, 4, 3, 7]",119,"[[0, 26, 34, 32, 32, 42, 25, 34], [26, 0, 13, 12, 8, 16, 9, 21], [34, 13, 0, 23, 16, 11, 9, 33], [32, 12, 23, 0, 7, 20, 22, 10], [32, 8, 16, 7, 0, 13, 17, 17], [42, 16, 11, 20, 13, 0, 18, 30], [25, 9, 9, 22, 17, 18, 0, 31], [34, 21, 33, 10, 17, 30, 31, 0]]",378,8,135.0,13.445378151260499,0.0,14.799999999999999,142.0,19.327731092436977,0.0,21.6,136.0,14.285714285714278,0.0,17.2
"[0, 2, 1, 3, 6, 7, 4, 5]",150,"[[0, 23, 12, 25, 24, 5, 15, 37], [23, 0, 13, 7, 46, 28, 11, 37], [12, 13, 0, 18, 34, 17, 13, 42], [25, 7, 18, 0, 49, 29, 10, 31], [24, 46, 34, 49, 0, 19, 39, 55], [5, 28, 17, 29, 19, 0, 20, 39], [15, 11, 13, 10, 39, 20, 0, 29], [37, 37, 42, 31, 55, 39, 29, 0]]",495,8,188.0,25.333333333333343,0.0,1.6,226.0,50.66666666666666,0.0,16.6,162.0,8.0,0.0,21.099999999999998
"[0, 5, 1, 7, 4, 3, 2, 6]",131,"[[0, 35, 16, 40, 39, 19, 17, 31], [35, 0, 34, 33, 31, 20, 49, 15], [16, 34, 0, 25, 25, 13, 17, 22], [40, 33, 25, 0, 2, 23, 41, 18], [39, 31, 25, 2, 0, 21, 41, 16], [19, 20, 13, 23, 21, 0, 29, 11], [17, 49, 17, 41, 41, 29, 0, 39], [31, 15, 22, 18, 16, 11, 39, 0]]",441,8,171.0,30.534351145038187,0.0,1.2,145.0,10.687022900763353,0.0,65.10000000000001,169.0,29.007633587786273,0.0,6.7
"[0, 4, 6, 7, 2, 3, 1, 5]",119,"[[0, 27, 31, 31, 16, 8, 12, 18], [27, 0, 14, 4, 43, 20, 39, 37], [31, 14, 0, 16, 46, 26, 42, 34], [31, 4, 16, 0, 47, 24, 44, 42], [16, 43, 46, 47, 0, 23, 4, 21], [8, 20, 26, 24, 23, 0, 20, 24], [12, 39, 42, 44, 4, 20, 0, 17], [18, 37, 34, 42, 21, 24, 17, 0]]",423,8,148.0,24.369747899159663,0.0,30.7,190.0,59.66386554621849,0.0,56.00000000000001,138.0,15.966386554621863,0.0,0.3
"[0, 2, 6, 1, 5, 7, 4, 3]",132,"[[0, 26, 28, 15, 22, 38, 23, 30], [26, 0, 27, 12, 21, 12, 7, 27], [28, 27, 0, 27, 41, 37, 20, 49], [15, 12, 27, 0, 13, 23, 11, 21], [22, 21, 41, 13, 0, 27, 24, 8], [38, 12, 37, 23, 27, 0, 18, 29], [23, 7, 20, 11, 24, 18, 0, 31], [30, 27, 49, 21, 8, 29, 31, 0]]",441,8,162.0,22.727272727272734,0.0,1.5,183.0,38.636363636363654,0.0,8.799999999999999,157.0,18.939393939393938,0.0,29.7
"[0, 2, 5, 7, 1, 4, 3, 6]",139,"[[0, 43, 11, 14, 29, 26, 16, 23], [43, 0, 42, 35, 23, 40, 48, 20], [11, 42, 0, 23, 35, 16, 28, 23], [14, 35, 23, 0, 16, 35, 13, 19], [29, 23, 35, 16, 0, 41, 27, 17], [26, 40, 16, 35, 41, 0, 43, 24], [16, 48, 28, 13, 27, 43, 0, 31], [23, 20, 23, 19, 17, 24, 31, 0]]",432,8,189.0,35.971223021582745,0.0,5.4,182.0,30.935251798561154,0.0,42.0,204.0,46.762589928057565,0.0,0.2
"[0, 2, 1, 7, 6, 3, 5, 4]",112,"[[0, 35, 38, 19, 15, 15, 22, 29], [35, 0, 4, 34, 47, 33, 30, 5], [38, 4, 0, 39, 51, 37, 34, 9], [19, 34, 39, 0, 18, 3, 6, 29], [15, 47, 51, 18, 0, 16, 24, 41], [15, 33, 37, 3, 16, 0, 8, 28], [22, 30, 34, 6, 24, 8, 0, 25], [29, 5, 9, 29, 41, 28, 25, 0]]",459,8,136.0,21.428571428571416,0.0,9.8,198.0,76.78571428571428,0.0,8.6,190.0,69.64285714285714,0.0,0.2
"[0, 3, 7, 4, 2, 5, 1, 6]",105,"[[0, 12, 24, 14, 15, 23, 11, 22], [12, 0, 12, 26, 5, 11, 4, 25], [24, 12, 0, 38, 9, 5, 13, 28], [14, 26, 38, 0, 29, 37, 25, 30], [15, 5, 9, 29, 0, 10, 4, 21], [23, 11, 5, 37, 10, 0, 13, 31], [11, 4, 13, 25, 4, 13, 0, 21], [22, 25, 28, 30, 21, 31, 21, 0]]",342,8,126.0,20.0,0.0,4.5,135.0,28.571428571428584,0.0,9.1,109.0,3.8095238095238244,0.0,28.299999999999997
"[0, 1, 2, 4, 6, 7, 3, 5]",143,"[[0, 15, 35, 24, 28, 8, 18, 45], [15, 0, 20, 32, 16, 22, 21, 52], [35, 20, 0, 43, 9, 41, 31, 60], [24, 32, 43, 0, 34, 18, 12, 20], [28, 16, 9, 34, 0, 33, 22, 50], [8, 22, 41, 18, 33, 0, 16, 38], [18, 21, 31, 12, 22, 16, 0, 31], [45, 52, 60, 20, 50, 38, 31, 0]]",540,8,166.0,16.08391608391608,0.0,12.3,207.0,44.755244755244746,0.0,45.9,176.0,23.07692307692308,0.0,40.0
"[0, 1, 2, 6, 7, 3, 4, 5]",116,"[[0, 44, 43, 21, 13, 10, 42, 24], [44, 0, 17, 33, 43, 43, 21, 36], [43, 17, 0, 25, 36, 38, 5, 26], [21, 33, 25, 0, 11, 13, 22, 4], [13, 43, 36, 11, 0, 3, 33, 12], [10, 43, 38, 13, 3, 0, 35, 14], [42, 21, 5, 22, 33, 35, 0, 22], [24, 36, 26, 4, 12, 14, 22, 0]]",396,8,124.0,6.896551724137922,0.0,0.6,184.0,58.62068965517241,0.0,3.8,167.0,43.9655172413793,0.0,1.6
"[0, 4, 5, 1, 3, 7, 2, 6]",100,"[[0, 32, 14, 35, 2, 20, 3, 8], [32, 0, 40, 4, 32, 15, 30, 31], [14, 40, 0, 43, 16, 32, 13, 9], [35, 4, 43, 0, 36, 19, 33, 34], [2, 32, 16, 36, 0, 20, 5, 10], [20, 15, 32, 19, 20, 0, 19, 23], [3, 30, 13, 33, 5, 19, 0, 5], [8, 31, 9, 34, 10, 23, 5, 0]]",387,8,147.0,47.0,0.0,6.6000000000000005,207.0,106.99999999999997,0.0,65.9,105.0,5.0,0.0,35.4
"[0, 4, 5, 2, 1, 3, 7, 6]",105,"[[0, 42, 32, 14, 12, 27, 4, 7], [42, 0, 30, 28, 31, 26, 39, 36], [32, 30, 0, 27, 21, 6, 32, 30], [14, 28, 27, 0, 8, 21, 11, 7], [12, 31, 21, 8, 0, 15, 11, 9], [27, 26, 6, 21, 15, 0, 26, 24], [4, 39, 32, 11, 11, 26, 0, 3], [7, 36, 30, 7, 9, 24, 3, 0]]",378,8,121.0,15.238095238095227,0.0,8.0,141.0,34.28571428571428,0.0,15.9,123.0,17.142857142857153,0.0,31.7
"[0, 5, 1, 4, 3, 2, 6, 7]",116,"[[0, 14, 33, 34, 35, 7, 28, 6], [14, 0, 33, 31, 21, 7, 29, 8], [33, 33, 0, 8, 43, 34, 5, 30], [34, 31, 8, 0, 37, 33, 10, 29], [35, 21, 43, 37, 0, 28, 41, 29], [7, 7, 34, 33, 28, 0, 29, 4], [28, 29, 5, 10, 41, 29, 0, 25], [6, 8, 30, 29, 29, 4, 25, 0]]",387,8,176.0,51.72413793103448,0.0,2.3,172.0,48.27586206896552,0.0,5.1,133.0,14.65517241379311,0.0,65.5
"[0, 4, 1, 7, 5, 3, 2, 6]",107,"[[0, 23, 14, 31, 2, 27, 4, 17], [23, 0, 31, 43, 25, 33, 21, 26], [14, 31, 0, 17, 16, 16, 11, 8], [31, 43, 17, 0, 33, 12, 28, 17], [2, 25, 16, 33, 0, 30, 7, 19], [27, 33, 16, 12, 30, 0, 23, 10], [4, 21, 11, 28, 7, 23, 0, 13], [17, 26, 8, 17, 19, 10, 13, 0]]",387,8,161.0,50.467289719626166,0.0,0.3,159.0,48.5981308411215,0.0,0.6,168.0,57.009345794392516,0.0,0.3
"[0, 2, 4, 5, 3, 1, 6, 7]",174,"[[0, 38, 17, 16, 42, 9, 19, 18], [38, 0, 51, 22, 46, 32, 19, 37], [17, 51, 0, 29, 37, 19, 34, 35], [16, 22, 29, 0, 38, 10, 6, 21], [42, 46, 37, 38, 0, 33, 43, 57], [9, 32, 19, 10, 33, 0, 16, 24], [19, 19, 34, 6, 43, 16, 0, 18], [18, 37, 35, 21, 57, 24, 18, 0]]",513,8,179.0,2.8735632183908137,0.0,38.9,214.0,22.988505747126425,0.0,13.100000000000001,179.0,2.8735632183908137,0.0,51.0
"[0, 2, 6, 1, 3, 5, 7, 4]",136,"[[0, 27, 3, 38, 30, 34, 29, 25], [27, 0, 28, 14, 38, 27, 15, 24], [3, 28, 0, 40, 33, 37, 29, 28], [38, 14, 40, 0, 39, 21, 28, 24], [30, 38, 33, 39, 0, 19, 50, 15], [34, 27, 37, 21, 19, 0, 42, 9], [29, 15, 29, 28, 50, 42, 0, 37], [25, 24, 28, 24, 15, 9, 37, 0]]",450,8,197.0,44.85294117647058,0.0,2.6,219.0,61.029411764705884,0.0,11.1,161.0,18.382352941176478,0.0,19.2
"[0, 3, 2, 4, 6, 1, 5, 7]",131,"[[0, 38, 13, 6, 46, 30, 41, 29], [38, 0, 43, 43, 38, 8, 23, 9], [13, 43, 0, 9, 39, 35, 39, 35], [6, 43, 9, 0, 47, 35, 44, 34], [46, 38, 39, 47, 0, 35, 15, 36], [30, 8, 35, 35, 35, 0, 21, 2], [41, 23, 39, 44, 15, 21, 0, 23], [29, 9, 35, 34, 36, 2, 23, 0]]",423,8,140.0,6.870229007633583,0.0,62.1,247.0,88.54961832061068,0.0,0.6,133.0,1.5267175572519136,0.0,23.1
"[0, 4, 3, 1, 6, 2, 5, 7]",133,"[[0, 46, 53, 41, 18, 36, 44, 7], [46, 0, 26, 7, 28, 12, 8, 40], [53, 26, 0, 32, 39, 22, 19, 46], [41, 7, 32, 0, 23, 12, 13, 36], [18, 28, 39, 23, 0, 19, 27, 13], [36, 12, 22, 12, 19, 0, 8, 29], [44, 8, 19, 13, 27, 8, 0, 38], [7, 40, 46, 36, 13, 29, 38, 0]]",477,8,144.0,8.27067669172932,0.0,41.3,217.0,63.15789473684211,0.0,8.6,151.0,13.53383458646617,0.0,32.0
"[0, 2, 1, 6, 4, 7, 3, 5]",117,"[[0, 18, 4, 40, 38, 26, 31, 46], [18, 0, 13, 32, 23, 30, 20, 34], [4, 13, 0, 37, 34, 25, 27, 42], [40, 32, 37, 0, 17, 22, 12, 11], [38, 23, 34, 17, 0, 31, 9, 12], [26, 30, 25, 22, 31, 0, 22, 32], [31, 20, 27, 12, 9, 22, 0, 15], [46, 34, 42, 11, 12, 32, 15, 0]]",414,8,161.0,37.606837606837615,0.0,7.9,185.0,58.11965811965811,0.0,3.2,198.0,69.23076923076923,0.0,0.3
"[0, 2, 4, 3, 6, 1, 7, 5]",160,"[[0, 46, 11, 62, 50, 36, 62, 38], [46, 0, 40, 22, 32, 19, 21, 10], [11, 40, 0, 52, 39, 34, 53, 30], [62, 22, 52, 0, 23, 41, 1, 25], [50, 32, 39, 23, 0, 46, 24, 26], [36, 19, 34, 41, 46, 0, 41, 19], [62, 21, 53, 1, 24, 41, 0, 25], [38, 10, 30, 25, 26, 19, 25, 0]]",558,8,203.0,26.875,0.0,1.9,267.0,66.875,0.0,5.6000000000000005,173.0,8.125,0.0,15.1
"[0, 4, 6, 1, 7, 2, 3, 5]",134,"[[0, 8, 10, 9, 23, 22, 12, 27], [8, 0, 15, 15, 21, 30, 9, 21], [10, 15, 0, 2, 33, 22, 21, 25], [9, 15, 2, 0, 32, 20, 21, 27], [23, 21, 33, 32, 0, 35, 12, 41], [22, 30, 22, 20, 35, 0, 29, 47], [12, 9, 21, 21, 12, 29, 0, 30], [27, 21, 25, 27, 41, 47, 30, 0]]",423,8,184.0,37.31343283582089,0.0,1.2,189.0,41.04477611940297,0.0,0.3,161.0,20.149253731343293,0.0,25.7
"[0, 3, 7, 2, 6, 1, 4, 5]",137,"[[0, 37, 25, 20, 20, 15, 31, 29], [37, 0, 29, 46, 28, 47, 11, 39], [25, 29, 0, 20, 36, 41, 18, 9], [20, 46, 20, 0, 39, 32, 36, 15], [20, 28, 36, 39, 0, 21, 29, 43], [15, 47, 41, 32, 21, 0, 44, 44], [31, 11, 18, 36, 29, 44, 0, 28], [29, 39, 9, 15, 43, 44, 28, 0]]",423,8,175.0,27.737226277372272,0.0,77.0,245.0,78.83211678832117,0.0,27.0,244.0,78.1021897810219,0.0,0.2
"[0, 2, 5, 4, 1, 3, 6, 7]",120,"[[0, 35, 33, 40, 25, 36, 36, 21], [35, 0, 24, 7, 11, 19, 14, 15], [33, 24, 0, 31, 18, 7, 37, 28], [40, 7, 31, 0, 17, 25, 10, 19], [25, 11, 18, 17, 0, 16, 19, 10], [36, 19, 7, 25, 16, 0, 32, 26], [36, 14, 37, 10, 19, 32, 0, 15], [21, 15, 28, 19, 10, 26, 15, 0]]",360,8,122.0,1.6666666666666572,0.0,50.9,180.0,50.0,0.0,6.800000000000001,120.0,0.0,1.0,47.599999999999994
"[0, 1, 5, 6, 3, 7, 2, 4]",131,"[[0, 33, 11, 31, 5, 36, 48, 21], [33, 0, 27, 42, 30, 12, 32, 38], [11, 27, 0, 21, 6, 27, 36, 13], [31, 42, 21, 0, 27, 35, 32, 10], [5, 30, 6, 27, 0, 31, 43, 17], [36, 12, 27, 35, 31, 0, 20, 34], [48, 32, 36, 32, 43, 20, 0, 36], [21, 38, 13, 10, 17, 34, 36, 0]]",432,8,179.0,36.641221374045784,0.0,5.6000000000000005,179.0,36.641221374045784,0.0,35.699999999999996,160.0,22.137404580152676,0.0,55.00000000000001
"[0, 2, 1, 6, 4, 7, 3, 5]",105,"[[0, 18, 16, 30, 26, 8, 22, 35], [18, 0, 2, 38, 26, 26, 5, 43], [16, 2, 0, 38, 27, 24, 8, 44], [30, 38, 38, 0, 15, 26, 38, 5], [26, 26, 27, 15, 0, 27, 24, 19], [8, 26, 24, 26, 27, 0, 30, 31], [22, 5, 8, 38, 24, 30, 0, 43], [35, 43, 44, 5, 19, 31, 43, 0]]",396,8,115.0,9.523809523809533,0.0,2.1,154.0,46.66666666666666,0.0,2.5,207.0,97.14285714285717,0.0,0.2
"[0, 2, 3, 7, 5, 4, 1, 6]",126,"[[0, 13, 33, 40, 22, 15, 12, 42], [13, 0, 34, 35, 9, 8, 6, 35], [33, 34, 0, 17, 39, 26, 39, 25], [40, 35, 17, 0, 36, 27, 41, 8], [22, 9, 39, 36, 0, 13, 12, 34], [15, 8, 26, 27, 13, 0, 14, 28], [12, 6, 39, 41, 12, 14, 0, 41], [42, 35, 25, 8, 34, 28, 41, 0]]",378,8,190.0,50.793650793650784,0.0,0.6,178.0,41.269841269841265,0.0,2.8000000000000003,150.0,19.04761904761905,0.0,15.7
"[0, 2, 1, 3, 4, 6, 5, 7]",161,"[[0, 5, 8, 16, 32, 32, 55, 21], [5, 0, 7, 11, 28, 30, 50, 21], [8, 7, 0, 15, 26, 37, 55, 28], [16, 11, 15, 0, 22, 24, 39, 22], [32, 28, 26, 22, 0, 44, 45, 45], [32, 30, 37, 24, 44, 0, 30, 17], [55, 50, 55, 39, 45, 30, 0, 46], [21, 21, 28, 22, 45, 17, 46, 0]]",495,8,208.0,29.19254658385094,0.0,12.1,202.0,25.465838509316768,0.0,18.4,218.0,35.403726708074515,0.0,0.2
"[0, 1, 6, 7, 2, 3, 5, 4]",119,"[[0, 7, 50, 35, 30, 31, 36, 47], [7, 0, 43, 29, 29, 26, 29, 40], [50, 43, 0, 16, 36, 21, 14, 4], [35, 29, 16, 0, 21, 5, 8, 15], [30, 29, 36, 21, 0, 17, 29, 36], [31, 26, 21, 5, 17, 0, 12, 20], [36, 29, 14, 8, 29, 12, 0, 11], [47, 40, 4, 15, 36, 20, 11, 0]]",450,8,154.0,29.411764705882348,0.0,8.7,151.0,26.890756302520998,0.0,2.1999999999999997,134.0,12.60504201680672,0.0,55.800000000000004
"[0, 4, 6, 2, 1, 7, 3, 5]",149,"[[0, 51, 50, 33, 33, 39, 36, 46], [51, 0, 12, 27, 26, 40, 17, 10], [50, 12, 0, 34, 18, 49, 13, 20], [33, 27, 34, 0, 30, 15, 23, 18], [33, 26, 18, 30, 0, 45, 9, 27], [39, 40, 49, 15, 45, 0, 39, 30], [36, 17, 13, 23, 9, 39, 0, 17], [46, 10, 20, 18, 27, 30, 17, 0]]",459,8,198.0,32.88590604026845,0.0,3.4000000000000004,231.0,55.033557046979865,0.0,3.0,224.0,50.335570469798654,0.0,2.1
