opt_sol,opt_cost,adj_matrix,max_cost,size,avg_cost_new_method_p_layer_circuit_384,avg_gap_new_method_p_layer_circuit_384,avg_opt_reached_new_method_p_layer_circuit_384,avg_proba_new_method_p_layer_circuit_384,avg_cost_new_method_censored_circuit_384,avg_gap_new_method_censored_circuit_384,avg_opt_reached_new_method_censored_circuit_384,avg_proba_new_method_censored_circuit_384,avg_cost_old_gray_trotter_method,avg_gap_old_gray_trotter_method,avg_opt_reached_old_gray_trotter_method,avg_proba_old_gray_trotter_method
"[0, 1, 5, 2, 6, 3, 4, 7]",152,"[[0, 31, 26, 33, 42, 40, 29, 44], [31, 0, 23, 30, 53, 18, 25, 60], [26, 23, 0, 8, 30, 18, 3, 37], [33, 30, 8, 0, 25, 19, 5, 33], [42, 53, 30, 25, 0, 45, 28, 8], [40, 18, 18, 19, 45, 0, 18, 53], [29, 25, 3, 5, 28, 18, 0, 35], [44, 60, 37, 33, 8, 53, 35, 0]]",540,8,163.0,7.236842105263165,0.0,30.0,169.0,11.184210526315795,0.0,82.0,152.0,0.0,1.0,96.0
"[0, 5, 1, 4, 6, 2, 3, 7]",126,"[[0, 6, 23, 48, 10, 7, 13, 21], [6, 0, 29, 54, 9, 2, 11, 27], [23, 29, 0, 28, 26, 30, 28, 15], [48, 54, 28, 0, 53, 54, 56, 28], [10, 9, 26, 53, 0, 12, 3, 29], [7, 2, 30, 54, 12, 0, 13, 27], [13, 11, 28, 56, 3, 13, 0, 32], [21, 27, 15, 28, 29, 27, 32, 0]]",504,8,132.0,4.761904761904773,0.0,94.0,134.0,6.349206349206355,0.0,90.0,134.0,6.349206349206355,0.0,94.0
"[0, 1, 5, 2, 7, 6, 4, 3]",97,"[[0, 7, 14, 18, 11, 14, 21, 16], [7, 0, 10, 23, 18, 8, 28, 14], [14, 10, 0, 32, 24, 6, 30, 4], [18, 23, 32, 0, 10, 31, 23, 34], [11, 18, 24, 10, 0, 25, 15, 25], [14, 8, 6, 31, 25, 0, 33, 10], [21, 28, 30, 23, 15, 33, 0, 29], [16, 14, 4, 34, 25, 10, 29, 0]]",306,8,98.0,1.0309278350515427,0.0,88.0,104.0,7.2164948453608275,0.0,100.0,108.0,11.340206185567013,0.0,60.0
"[0, 1, 5, 6, 7, 2, 3, 4]",156,"[[0, 23, 24, 20, 21, 32, 21, 8], [23, 0, 46, 40, 38, 36, 28, 24], [24, 46, 0, 26, 31, 35, 28, 22], [20, 40, 26, 0, 5, 50, 39, 27], [21, 38, 31, 5, 0, 53, 41, 29], [32, 36, 35, 50, 53, 0, 11, 23], [21, 28, 28, 39, 41, 11, 0, 12], [8, 24, 22, 27, 29, 23, 12, 0]]",477,8,160.0,2.564102564102555,0.0,98.0,172.0,10.256410256410263,0.0,92.0,156.0,0.0,1.0,72.0
"[0, 5, 3, 6, 2, 4, 1, 7]",131,"[[0, 31, 24, 11, 19, 11, 22, 29], [31, 0, 32, 38, 14, 41, 39, 30], [24, 32, 0, 19, 20, 24, 8, 48], [11, 38, 19, 0, 25, 5, 14, 41], [19, 14, 20, 25, 0, 27, 25, 31], [11, 41, 24, 5, 27, 0, 19, 39], [22, 39, 8, 14, 25, 19, 0, 50], [29, 30, 48, 41, 31, 39, 50, 0]]",450,8,131.0,0.0,1.0,100.0,141.0,7.63358778625954,0.0,100.0,149.0,13.74045801526718,0.0,100.0
"[0, 3, 2, 6, 1, 5, 7, 4]",135,"[[0, 45, 17, 25, 1, 14, 34, 10], [45, 0, 33, 50, 45, 31, 13, 47], [17, 33, 0, 18, 18, 11, 20, 26], [25, 50, 18, 0, 26, 28, 36, 35], [1, 45, 18, 26, 0, 14, 35, 9], [14, 31, 11, 28, 14, 0, 21, 18], [34, 13, 20, 36, 35, 21, 0, 39], [10, 47, 26, 35, 9, 18, 39, 0]]",450,8,141.0,4.444444444444457,0.0,82.0,152.0,12.592592592592595,0.0,100.0,152.0,12.592592592592595,0.0,64.0
"[0, 1, 5, 2, 4, 6, 3, 7]",142,"[[0, 16, 43, 51, 50, 19, 59, 22], [16, 0, 32, 47, 40, 14, 50, 27], [43, 32, 0, 22, 7, 24, 18, 33], [51, 47, 22, 0, 19, 33, 16, 32], [50, 40, 7, 19, 0, 31, 11, 38], [19, 14, 24, 33, 31, 0, 40, 15], [59, 50, 18, 16, 11, 40, 0, 44], [22, 27, 33, 32, 38, 15, 44, 0]]",531,8,154.0,8.450704225352126,0.0,98.0,142.0,0.0,1.0,100.0,148.0,4.225352112676049,0.0,100.0
"[0, 1, 6, 7, 5, 4, 2, 3]",112,"[[0, 24, 23, 1, 21, 27, 27, 24], [24, 0, 46, 25, 30, 17, 8, 8], [23, 46, 0, 22, 28, 43, 48, 44], [1, 25, 22, 0, 22, 28, 28, 25], [21, 30, 28, 22, 0, 18, 26, 24], [27, 17, 43, 28, 18, 0, 10, 8], [27, 8, 48, 28, 26, 10, 0, 3], [24, 8, 44, 25, 24, 8, 3, 0]]",432,8,112.0,0.0,1.0,96.0,129.0,15.178571428571416,0.0,100.0,114.0,1.7857142857142776,0.0,98.0
"[0, 5, 2, 1, 4, 7, 3, 6]",113,"[[0, 33, 27, 21, 25, 15, 12, 15], [33, 0, 8, 30, 7, 32, 43, 24], [27, 8, 0, 29, 4, 24, 38, 22], [21, 30, 29, 0, 25, 34, 21, 8], [25, 7, 4, 25, 0, 25, 35, 18], [15, 32, 24, 34, 25, 0, 26, 26], [12, 43, 38, 21, 35, 26, 0, 20], [15, 24, 22, 8, 18, 26, 20, 0]]",387,8,113.0,0.0,1.0,100.0,118.0,4.424778761061958,0.0,54.0,133.0,17.69911504424779,0.0,72.0
"[0, 1, 2, 7, 3, 5, 4, 6]",125,"[[0, 15, 16, 21, 19, 23, 27, 4], [15, 0, 7, 33, 33, 38, 38, 17], [16, 7, 0, 29, 35, 37, 42, 16], [21, 33, 29, 0, 24, 17, 39, 17], [19, 33, 35, 24, 0, 11, 15, 19], [23, 38, 37, 17, 11, 0, 25, 21], [27, 38, 42, 39, 15, 25, 0, 29], [4, 17, 16, 17, 19, 21, 29, 0]]",378,8,125.0,0.0,1.0,80.0,155.0,24.0,0.0,70.0,125.0,0.0,1.0,100.0
