opt_sol,opt_cost,adj_matrix,max_cost,size,avg_cost_new_method_p_layer_circuit_192,avg_gap_new_method_p_layer_circuit_192,avg_opt_reached_new_method_p_layer_circuit_192,avg_proba_new_method_p_layer_circuit_192,avg_cost_new_method_censored_circuit_192,avg_gap_new_method_censored_circuit_192,avg_opt_reached_new_method_censored_circuit_192,avg_proba_new_method_censored_circuit_192
"[0, 4, 3, 6, 7, 2, 1, 5]",112,"[[0, 23, 12, 15, 20, 17, 20, 11], [23, 0, 11, 38, 42, 10, 38, 26], [12, 11, 0, 27, 33, 11, 27, 15], [15, 38, 27, 0, 9, 31, 18, 18], [20, 42, 33, 9, 0, 34, 27, 27], [17, 10, 11, 31, 34, 0, 36, 24], [20, 38, 27, 18, 27, 36, 0, 12], [11, 26, 15, 18, 27, 24, 12, 0]]",378,8,116.0,3.5714285714285836,0.0,100.0,122.0,8.928571428571416,0.0,100.0
"[0, 1, 4, 5, 2, 6, 3, 7]",107,"[[0, 2, 18, 29, 4, 12, 42, 22], [2, 0, 16, 28, 2, 10, 40, 22], [18, 16, 0, 28, 14, 12, 30, 26], [29, 28, 28, 0, 27, 36, 21, 8], [4, 2, 14, 27, 0, 10, 38, 21], [12, 10, 12, 36, 10, 0, 43, 31], [42, 40, 30, 21, 38, 43, 0, 28], [22, 22, 26, 8, 21, 31, 28, 0]]",387,8,109.0,1.8691588785046775,0.0,100.0,109.0,1.8691588785046775,0.0,98.0
"[0, 5, 2, 4, 1, 3, 7, 6]",131,"[[0, 37, 24, 21, 20, 10, 1, 10], [37, 0, 59, 18, 40, 47, 36, 27], [24, 59, 0, 45, 24, 19, 25, 34], [21, 18, 45, 0, 32, 30, 19, 10], [20, 40, 24, 32, 0, 26, 21, 24], [10, 47, 19, 30, 26, 0, 11, 20], [1, 36, 25, 19, 21, 11, 0, 9], [10, 27, 34, 10, 24, 20, 9, 0]]",531,8,131.0,0.0,1.0,94.0,131.0,0.0,1.0,100.0
"[0, 2, 7, 1, 3, 6, 5, 4]",151,"[[0, 33, 24, 34, 2, 20, 26, 39], [33, 0, 43, 13, 35, 43, 19, 19], [24, 43, 0, 51, 25, 43, 46, 37], [34, 13, 51, 0, 35, 38, 11, 32], [2, 35, 25, 35, 0, 18, 26, 41], [20, 43, 43, 38, 18, 0, 27, 55], [26, 19, 46, 11, 26, 27, 0, 37], [39, 19, 37, 32, 41, 55, 37, 0]]",495,8,151.0,0.0,1.0,100.0,154.0,1.9867549668874318,0.0,100.0
"[0, 3, 2, 7, 1, 5, 6, 4]",138,"[[0, 51, 9, 5, 34, 46, 43, 40], [51, 0, 43, 47, 48, 21, 21, 12], [9, 43, 0, 4, 35, 41, 39, 33], [5, 47, 4, 0, 34, 43, 41, 36], [34, 48, 35, 34, 0, 29, 27, 36], [46, 21, 41, 43, 29, 0, 2, 14], [43, 21, 39, 41, 27, 2, 0, 13], [40, 12, 33, 36, 36, 14, 13, 0]]",459,8,142.0,2.8985507246376727,0.0,96.0,148.0,7.246376811594217,0.0,100.0
"[0, 5, 4, 3, 2, 6, 1, 7]",118,"[[0, 39, 29, 6, 5, 9, 27, 26], [39, 0, 24, 42, 44, 46, 22, 20], [29, 24, 0, 28, 32, 38, 2, 30], [6, 42, 28, 0, 4, 11, 27, 31], [5, 44, 32, 4, 0, 7, 30, 32], [9, 46, 38, 11, 7, 0, 36, 31], [27, 22, 2, 27, 30, 36, 0, 27], [26, 20, 30, 31, 32, 31, 27, 0]]",414,8,121.0,2.5423728813559308,0.0,100.0,124.0,5.084745762711876,0.0,84.0
"[0, 3, 1, 6, 4, 5, 2, 7]",127,"[[0, 13, 7, 12, 40, 25, 41, 6], [13, 0, 20, 3, 45, 34, 38, 19], [7, 20, 0, 19, 35, 19, 40, 7], [12, 3, 19, 0, 47, 34, 41, 17], [40, 45, 35, 47, 0, 17, 25, 42], [25, 34, 19, 34, 17, 0, 31, 26], [41, 38, 40, 41, 25, 31, 0, 46], [6, 19, 7, 17, 42, 26, 46, 0]]",423,8,139.0,9.448818897637807,0.0,56.00000000000001,145.0,14.173228346456696,0.0,56.00000000000001
"[0, 1, 6, 2, 4, 3, 5, 7]",168,"[[0, 14, 38, 41, 23, 24, 10, 15], [14, 0, 43, 56, 33, 35, 9, 24], [38, 43, 0, 49, 18, 57, 34, 52], [41, 56, 49, 0, 33, 35, 49, 40], [23, 33, 18, 33, 0, 39, 24, 35], [24, 35, 57, 35, 39, 0, 34, 10], [10, 9, 34, 49, 24, 34, 0, 24], [15, 24, 52, 40, 35, 10, 24, 0]]",513,8,168.0,0.0,1.0,98.0,168.0,0.0,1.0,98.0
"[0, 3, 1, 2, 7, 5, 6, 4]",95,"[[0, 13, 7, 9, 23, 22, 30, 12], [13, 0, 10, 4, 36, 34, 43, 15], [7, 10, 0, 7, 28, 23, 33, 6], [9, 4, 7, 0, 32, 30, 39, 12], [23, 36, 28, 32, 0, 11, 11, 28], [22, 34, 23, 30, 11, 0, 10, 22], [30, 43, 33, 39, 11, 10, 0, 32], [12, 15, 6, 12, 28, 22, 32, 0]]",387,8,103.0,8.421052631578945,0.0,72.0,104.0,9.47368421052633,0.0,98.0
"[0, 3, 2, 6, 7, 1, 4, 5]",138,"[[0, 41, 25, 23, 31, 25, 44, 48], [41, 0, 24, 38, 11, 15, 33, 33], [25, 24, 0, 14, 20, 13, 19, 23], [23, 38, 14, 0, 33, 25, 23, 28], [31, 11, 20, 33, 0, 8, 35, 37], [25, 15, 13, 25, 8, 0, 30, 32], [44, 33, 19, 23, 35, 30, 0, 5], [48, 33, 23, 28, 37, 32, 5, 0]]",432,8,148.0,7.246376811594217,0.0,68.0,145.0,5.072463768115938,0.0,100.0
