Notations cycliques des matrices de transition simples
Matrice de transition simple 1,"(5,6)"
Matrice de transition simple 2,"(5,7)"
Matrice de transition simple 3,"(5,8)"
Matrice de transition simple 4,"(4,6)"
Matrice de transition simple 5,"(5,7)"
Matrice de transition simple 6,"(5,8)"
Matrice de transition simple 7,"(3,6,4,5,7,8)"
Matrice de transition simple 8,"(3,5,6)(4,7)"
Matrice de transition simple 9,"(4,5,7,8)"
Matrice de transition simple 10,"(4,5,8,7)"
Matrice de transition simple 11,"(3,6,4,7)"
Matrice de transition simple 12,"(3,6,8)(5,7)"
Matrice de transition simple 13,"(3,5,8,6)"
Matrice de transition simple 14,"(3,4,7,8)"
Matrice de transition simple 15,"(3,5,4,7,6,8)"
Matrice de transition simple 16,"(3,4,5,7)"
Matrice de transition simple 17,"(4,5,8,7)"
Matrice de transition simple 18,"(3,7,6,4)"
Matrice de transition simple 19,"(3,7,6,8)"
Matrice de transition simple 20,"(2,6,3,5,7,8)"
Matrice de transition simple 21,"(3,4,7,8)"
Matrice de transition simple 22,"(3,5,4,7,6,8)"
Matrice de transition simple 23,"(3,4,5,7)"
Matrice de transition simple 24,"(4,5,8,7)"
Matrice de transition simple 25,"(3,7,6,4)"
Matrice de transition simple 26,"(3,7,6,8)"
Matrice de transition simple 27,"(3,8,6)(5,7)"
Matrice de transition simple 28,"(3,7,8,5)"
Matrice de transition simple 29,"(2,7)(3,5,4,6,8)"
Matrice de transition simple 30,"(2,3,4,6,5,7)"
Matrice de transition simple 31,"(2,6,8,7,4,5)"
Matrice de transition simple 32,"(2,4,3,7,6,8)"
Matrice de transition simple 33,"(2,3,7)(6,8)"
Matrice de transition simple 34,"(2,3)(5,7)(6,8)"
Matrice de transition simple 35,"(1,6)(2,5,3,7,8)"
Matrice de transition simple 36,"(2,7)(3,5,4,6,8)"
Matrice de transition simple 37,"(2,3,4,6,5,7)"
Matrice de transition simple 38,"(2,6,8,7,4,5)"
Matrice de transition simple 39,"(2,4,3,7,6,8)"
Matrice de transition simple 40,"(2,3,7)(6,8)"
Matrice de transition simple 41,"(2,3)(5,7)(6,8)"
Matrice de transition simple 42,"(2,7,8)(3,5)"
Matrice de transition simple 43,"(2,3,5)(4,6,8,7)"
Matrice de transition simple 44,"(2,3)(5,7,6)"
Matrice de transition simple 45,"(4,8,7)(5,6)"
Matrice de transition simple 46,"(3,7,6,4)"
Matrice de transition simple 47,"(2,4,6,8,3,7)"
Matrice de transition simple 48,"(1,8,6,4)(2,3)(5,7)"
Matrice de transition simple 49,"(1,2,7)(3,5)"
Matrice de transition simple 50,"(1,2,3,5,7,4,6,8)"
Matrice de transition simple 51,"(2,3)(5,7,6)"
Matrice de transition simple 52,"(1,8,7,4)(3,5,6)"
Matrice de transition simple 53,"(3,7,6,4)"
Matrice de transition simple 54,"(1,3,7,2,4)(6,8)"
Matrice de transition simple 55,"(1,4,7,5)(2,3)(6,8)"
