Notations cycliques des matrices de transition
Matrice 1,"(6,7)"
Matrice 2,"(6,8)"
Matrice 3,"(5,7)(6,8)"
Matrice 4,"(6,8)"
Matrice 5,"(5,8)"
Matrice 6,"(3,8)"
Matrice 7,"(3,5)"
Matrice 8,"(3,6)"
Matrice 9,"(1,4,2,3)"
Matrice 10,"(1,6)"
Matrice 11,"(1,5)"
Matrice 12,"(2,8)"
Matrice 13,"(5,7)"
Matrice 14,"(6,7)"
Matrice 15,"(3,7)(4,8)"
Matrice 16,"(3,6)"
Matrice 17,"(3,5)"
Matrice 18,"(2,6)"
Matrice 19,"(1,3)"
Matrice 20,"(2,3)"
Matrice 21,"(1,6)(2,5)"
Matrice 22,"(3,5)"
Matrice 23,"(3,6)"
Matrice 24,"(1,6)"
Matrice 25,"(1,3)"
Matrice 26,"(2,3)"
Matrice 27,"(1,6)(2,5)"
Matrice 28,"(3,5)"
Matrice 29,"(3,6)"
Matrice 30,"(2,6,4,8)"
Matrice 31,"(4,5)"
Matrice 32,"(4,6)"
Matrice 33,"(3,5,4,6)"
Matrice 34,"(3,6)"
Matrice 35,"(4,6)"
Matrice 36,"(6,7)"
Matrice 37,"(4,7)"
Matrice 38,"(3,7)"
Matrice 39,"(3,5,4,6)"
Matrice 40,"(5,7)"
Matrice 41,"(6,7)"
Matrice 42,"(3,8)"
Matrice 43,"(4,6)"
Matrice 44,"(4,5)"
Matrice 45,"(1,4,2,3)"
Matrice 46,"(2,5)"
Matrice 47,"(2,6)"
Matrice 48,"(5,8)"
Matrice 49,"(2,7)"
Matrice 50,"(2,8)"
Matrice 51,"(3,7)(4,8)"
Matrice 52,"(2,4)"
Matrice 53,"(2,3)"
Matrice 54,"(3,5)"
Matrice 55,"(2,5)"
Matrice 56,"(2,6)"
Matrice 57,"(3,8)(4,7)"
Matrice 58,"(2,6)"
Matrice 59,"(2,5)"
Matrice 60,"(2,6,8,4)"
Matrice 61,"(5,8)"
Matrice 62,"(5,7)"
Matrice 63,"(1,4,2,3)"
Matrice 64,"(5,7)"
Matrice 65,"(5,8)"
Matrice 66,"(2,5)"
Matrice 67,"(2,8)"
Matrice 68,"(2,7)"
Matrice 69,"(3,5,4,6)"
Matrice 70,"(2,7)"
Matrice 71,"(2,8)"
Matrice 72,"(1,4)"
Matrice 73,"(3,8)"
Matrice 74,"(3,7)"
Matrice 75,"(5,7,6,8)"
Matrice 76,"(3,6)"
Matrice 77,"(3,5)"
Matrice 78,"(1,6)"
Matrice 79,"(2,3)"
Matrice 80,"(1,3)"
Matrice 81,"(3,7,4,8)"
Matrice 82,"(1,7)"
Matrice 83,"(2,7)"
Matrice 84,"(2,6)"
Matrice 85,"(6,7)"
Matrice 86,"(5,7)"
Matrice 87,"(1,7)(2,8)"
Matrice 88,"(1,5)"
Matrice 89,"(1,6)"
Matrice 90,"(2,7,6,4)"
Matrice 91,"(4,5)"
Matrice 92,"(4,6)"
Matrice 93,"(3,5)(4,6)"
Matrice 94,"(4,6)"
Matrice 95,"(3,6)"
Matrice 96,"(6,8)"
Matrice 97,"(3,8)"
Matrice 98,"(4,8)"
Matrice 99,"(5,8,6,7)"
Matrice 100,"(4,6)"
Matrice 101,"(3,6)"
Matrice 102,"(5,7)"
Matrice 103,"(3,8)"
Matrice 104,"(4,8)"
Matrice 105,"(3,7,4,8)"
Matrice 106,"(3,8)"
Matrice 107,"(3,7)"
Matrice 108,"(5,8)"
Matrice 109,"(3,6)"
Matrice 110,"(3,5)"
Matrice 111,"(5,8,6,7)"
Matrice 112,"(3,8)"
Matrice 113,"(3,7)"
Matrice 114,"(6,7)"
Matrice 115,"(3,6)"
Matrice 116,"(3,5)"
Matrice 117,"(3,8)(4,7)"
Matrice 118,"(5,8)"
Matrice 119,"(6,8)"
Matrice 120,"(2,5,4,8)"
Matrice 121,"(1,4)"
Matrice 122,"(1,3)"
Matrice 123,"(1,8,2,7)"
Matrice 124,"(3,8)"
Matrice 125,"(4,8)"
Matrice 126,"(2,8)"
Matrice 127,"(2,4)"
Matrice 128,"(2,3)"
Matrice 129,"(5,7,6,8)"
Matrice 130,"(2,3)"
Matrice 131,"(2,4)"
Matrice 132,"(1,5)"
Matrice 133,"(4,6)"
Matrice 134,"(3,6)"
Matrice 135,"(1,8)(2,7)"
Matrice 136,"(3,6)"
Matrice 137,"(4,6)"
Matrice 138,"(3,8)"
Matrice 139,"(6,7)"
Matrice 140,"(6,8)"
Matrice 141,"(1,7)(2,8)"
Matrice 142,"(2,6)"
Matrice 143,"(1,6)"
Matrice 144,"(1,3)"
Matrice 145,"(3,6)"
Matrice 146,"(4,6)"
Matrice 147,"(5,7)(6,8)"
Matrice 148,"(4,8)"
Matrice 149,"(3,8)"
Matrice 150,"(2,6,3,7)"
Matrice 151,"(5,7)"
Matrice 152,"(6,7)"
Matrice 153,"(1,5)(2,6)"
Matrice 154,"(2,7)"
Matrice 155,"(1,7)"
Matrice 156,"(5,7)"
Matrice 157,"(1,5)"
Matrice 158,"(2,5)"
Matrice 159,"(1,6)(2,5)"
Matrice 160,"(2,5)"
Matrice 161,"(2,6)"
Matrice 162,"(1,7)"
Matrice 163,"(6,8)"
Matrice 164,"(5,8)"
Matrice 165,"(1,4)(2,3)"
Matrice 166,"(5,8)"
Matrice 167,"(6,8)"
Matrice 168,"(4,5)"
Matrice 169,"(3,8)"
Matrice 170,"(4,8)"
Matrice 171,"(1,4,2,3)"
Matrice 172,"(2,8)"
Matrice 173,"(1,8)"
Matrice 174,"(1,5)"
Matrice 175,"(5,8)"
Matrice 176,"(6,8)"
Matrice 177,"(3,7,4,8)"
Matrice 178,"(3,6)"
Matrice 179,"(3,5)"
Matrice 180,"(1,3,6,7)"
Matrice 181,"(5,7)"
Matrice 182,"(5,8)"
Matrice 183,"(3,6)(4,5)"
Matrice 184,"(4,8)"
Matrice 185,"(4,7)"
Matrice 186,"(4,6)"
Matrice 187,"(6,7)"
Matrice 188,"(6,8)"
Matrice 189,"(3,7,4,8)"
Matrice 190,"(3,6)"
Matrice 191,"(4,6)"
Matrice 192,"(5,8)"
Matrice 193,"(4,7)"
Matrice 194,"(3,7)"
Matrice 195,"(1,4,2,3)"
Matrice 196,"(1,7)"
Matrice 197,"(2,7)"
Matrice 198,"(1,5)"
Matrice 199,"(6,7)"
Matrice 200,"(5,7)"
Matrice 201,"(1,3)(2,4)"
Matrice 202,"(5,7)"
Matrice 203,"(6,7)"
Matrice 204,"(3,6)"
Matrice 205,"(3,7)"
Matrice 206,"(4,7)"
Matrice 207,"(3,5,4,6)"
Matrice 208,"(6,7)"
Matrice 209,"(5,7)"
